titulo,ubicacion,precio,area_m2,habitaciones,banos,parqueaderos,url
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,8.500.000,100.0,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-2-habitaciones-2-banos-2-garajes/687-M5732851
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,7.250.000,133.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-3-banos-2-garajes/687-M5569651
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,6.800.000,128.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/687-M5512158
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,6.500.000,134.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/687-M5680210
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,5.850.000,125.0,4,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-4-habitaciones-3-banos-1-garajes/687-M2781197
"Casa en Arriendo, EL POBLADO, Medellín",El Poblado,37.000.000,85.0,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no.1-4-habitaciones-5-banos-4-garajes/687-M5462902
"Casa en Arriendo, Poblado, Medellín",El Poblado,8.000.000,110.0,4,4,0,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-castillo-4-habitaciones-4-banos/20662-M6014660
"Bodega en Arriendo, Guayabal, Medellín",Guayabal,26.000.000,745.0,0,5,0,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-guayabal-5-banos/20662-M5988162
"Local Comercial en Arriendo, Poblado, Medellín",El Poblado,7.000.000,5.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-los-conquistadores/661-M5029868
"Apartamento en Arriendo, Poblado, Medellín",El Poblado,4.500.000,87.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-3-banos-2-garajes/19474-M5841941
"Local Comercial en Arriendo, Laureles, Medellín",Laureles,8.500.000,153.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-lorena-1-banos-1-garajes/17698-M5837716
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado,5.900.000,120.0,3,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-3-habitaciones-2-banos-2-garajes/16211-M6016650
"Casa en Arriendo, Simon Bolivar, Medellín",Simón Bolívar,5.500.000,110.0,5,2,0,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-simon-bolivar-5-habitaciones-2-banos/18936-M6067470
"Oficina en Arriendo, Lemont, Medellín",Lemont,5.500.000,22.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-lemont-1-banos-1-garajes/175-M5769219
"Bodega en Arriendo, Laureles, Medellín",Laureles,25.000.000,400.0,0,2,0,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-el-velodromo-2-banos/17698-M5838131
"Edificio de Apartamentos en Arriendo, Catercol, Medellín",Catercol,15.000.000,391.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-edificio-de-apartamentos-medellin-perpetuo-socorro/18075-M5347367
"Local Comercial en Arriendo, Poblado, Medellín",El Poblado,1.800.000,18.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-poblado-1-banos/17698-M6012346
"Bodega en Arriendo, Aguacatala, Medellín",Aguacatalae | Medellín,42.000.000,200.0,0,5,4,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-guayabal-5-banos-4-garajes/17698-M5846679
"Apartamento en Arriendo, LAS PALMAS, Medellín",Las Palmas,7.200.000,110.0,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-2-habitaciones-3-banos-1-garajes/16749-M4802293
